packet_id,timestamp,altitude_m,lat,lon,temp_c,battery_v,status_code
1,1790310600,0.14,12.9716,77.5946,27.72,4.198,0
2,1790310601,-0.28,12.97162,77.59463,28.14,4.202,0
3,1790310602,0.39,12.97164,77.59466,27.74,4.199,0
4,1790310603,-0.47,12.97166,77.59469,27.82,4.2,0
5,1790310604,-0.47,12.97168,77.59472,27.81,4.2,0
6,1790310605,0.04,12.9717,77.59475,27.81,4.2,0
7,1790310606,0.31,12.97172,77.59478,27.68,4.202,0
8,1790310607,0.2,12.97174,77.59481,27.87,4.196,0
9,1790310608,0.46,12.97176,77.59484,27.87,4.195,0
10,1790310609,-0.4,12.97178,77.59487,28.18,4.2,0
11,1790310610,0.31,12.9718,77.5949,28.1,4.198,0
12,1790310611,0.47,12.97182,77.59493,27.89,4.199,0
13,1790310612,0.33,12.97184,77.59496,28.03,4.202,0
14,1790310613,0.08,12.97186,77.59499,28.07,4.193,0
15,1790310614,-0.27,12.97188,77.59502,27.82,4.194,0
16,1790310615,-0.27,12.9719,77.59505,27.71,4.195,0
17,1790310616,0.14,12.97192,77.59508,27.86,4.196,0
18,1790310617,-0.29,12.97194,77.59511,27.8,4.201,0
19,1790310618,0.15,12.97196,77.59514,28.0,4.194,0
20,1790310619,0.23,12.97198,77.59517,27.73,4.196,0
21,1790310620,0.49,12.972,77.5952,28.01,4.198,0
22,1790310621,0.18,12.97202,77.59523,28.13,4.2,0
23,1790310622,-0.27,12.97204,77.59526,27.64,4.194,0
24,1790310623,-0.23,12.97206,77.59529,27.75,4.2,0
25,1790310624,0.38,12.97208,77.59532,27.8,4.198,0
26,1790310625,-0.1,12.9721,77.59535,28.16,4.196,0
27,1790310626,-0.24,12.97212,77.59538,27.76,4.197,0
28,1790310627,-0.24,12.97214,77.59541,27.95,4.2,0
29,1790310628,-0.1,12.97216,77.59544,27.73,4.2,0
30,1790310629,0.01,12.97218,77.59547,27.65,4.19,0
31,1790310630,-0.39,12.9722,77.5955,27.97,4.198,0
32,1790310631,-0.08,12.97222,77.59553,27.63,4.194,0
