timestamp_ms,altitude_m,velocity_mps,accel_z_g,gyro_x_dps,gyro_y_dps,temp_c,pressure_hpa,battery_v,current_ma,status_flags
0,0.0,95.0,3.29,-2.4,-1.3,28.7,1013.2,4.18,438.0,ASCENT_POWERED
500,63.6,94.9,3.15,-0.7,1.4,28.0,1006.4,4.17,409.0,ASCENT_POWERED
1000,127.0,94.5,3.07,2.4,1.5,27.5,999.7,4.16,410.0,ASCENT_POWERED
1500,190.1,93.8,2.86,-2.1,-2.3,27.1,992.9,4.14,421.0,ASCENT_POWERED
2000,252.6,92.9,2.77,-0.0,-1.3,26.7,986.2,4.13,415.0,ASCENT_POWERED
2500,314.5,91.8,2.63,2.4,-0.2,26.2,979.6,4.12,430.0,ASCENT_POWERED
3000,375.5,90.4,2.52,-1.7,-2.2,25.6,973.1,4.11,425.0,ASCENT_POWERED
3500,435.4,88.7,2.45,-2.0,-0.2,25.0,966.7,4.1,424.0,ASCENT_POWERED
4000,494.2,86.8,2.3,0.7,1.6,24.8,960.4,4.08,419.0,ASCENT_POWERED
4500,551.6,84.6,2.27,0.3,-1.8,24.2,954.2,4.07,437.0,ASCENT_POWERED
5000,607.5,82.3,2.2,-1.4,-0.3,23.8,948.2,4.06,420.0,ASCENT_POWERED
5500,661.7,79.7,2.11,-3.7,2.2,23.4,942.5,4.05,403.0,ASCENT_POWERED
6000,714.2,76.9,1.84,-3.6,1.0,22.8,936.8,4.04,401.0,ASCENT_POWERED
6500,764.6,73.8,1.74,-1.0,1.3,22.2,931.4,4.02,410.0,ASCENT_POWERED
7000,813.0,70.6,1.69,0.5,0.2,21.8,926.3,4.01,411.0,ASCENT_POWERED
7500,859.1,67.2,1.53,2.5,2.4,21.4,921.3,4.0,402.0,ASCENT_POWERED
8000,902.9,63.6,1.47,-3.1,-0.3,21.0,916.6,3.99,428.0,ASCENT_POWERED
8500,944.2,59.8,1.4,-2.8,-0.1,20.3,912.2,3.98,437.0,ASCENT_POWERED
9000,983.0,55.8,1.36,0.7,-1.5,20.0,908.1,3.96,415.0,ASCENT_POWERED
9500,1019.0,51.7,1.23,-3.6,2.4,19.4,904.2,3.95,434.0,ASCENT_POWERED
10000,1052.2,47.5,1.07,-2.2,1.1,19.0,900.7,3.94,431.0,ASCENT_POWERED
10500,1082.6,43.1,0.95,-3.5,0.5,18.7,897.4,3.93,405.0,ASCENT_POWERED
11000,1110.0,38.6,0.9,-3.9,-1.8,18.2,894.5,3.92,425.0,ASCENT_POWERED
11500,1134.3,34.0,0.71,1.2,-1.0,17.5,891.9,3.9,439.0,ASCENT_POWERED
