utc_iso,obc_tick16,mode,bat_v_min_mV,bat_v_mean_mV,temp_bat_max_cC,temp_obc_max_cC,gyro_abs_max,rssi_min,crc_err_cnt,reset_cnt,health_bits
2027-03-14T00:00:00Z,0,1,7696,7710,1581,2026,15,-86,0,0,0x01
2027-03-14T00:01:00Z,600,1,7717,7730,1633,2098,15,-79,0,0,0x01
2027-03-14T00:02:00Z,1200,1,7732,7749,1692,2162,18,-71,0,0,0x01
2027-03-14T00:03:00Z,1800,1,7753,7767,1763,2239,15,-66,0,0,0x01
2027-03-14T00:04:00Z,2400,1,7771,7784,1831,2304,15,-65,0,0,0x01
2027-03-14T00:05:00Z,3000,1,7788,7801,1889,2343,18,-64,0,0,0x01
2027-03-14T00:06:00Z,3600,1,7802,7816,1940,2409,12,-65,0,0,0x01
2027-03-14T00:07:00Z,4200,1,7818,7832,1994,2458,15,-72,0,0,0x01
2027-03-14T00:08:00Z,4800,1,7832,7845,2063,2512,15,-78,0,0,0x01
2027-03-14T00:09:00Z,5400,1,7851,7859,2111,2583,14,-86,0,0,0x01
2027-03-14T00:10:00Z,6000,1,7858,7872,2157,2626,17,-120,0,0,0x01
2027-03-14T00:11:00Z,6600,1,7870,7883,2217,2681,14,-119,0,0,0x01
2027-03-14T00:12:00Z,7200,1,7882,7895,2263,2725,14,-119,0,0,0x01
2027-03-14T00:13:00Z,7800,1,7892,7906,2316,2780,15,-120,0,0,0x01
2027-03-14T00:14:00Z,8401,1,7904,7916,2358,2826,13,-120,0,0,0x01
2027-03-14T00:15:00Z,9001,1,7912,7926,2409,2865,12,-119,0,0,0x01
2027-03-14T00:16:00Z,9601,1,7918,7935,2443,2912,18,-118,0,0,0x01
2027-03-14T00:17:00Z,10201,1,7931,7945,2474,2949,11,-120,0,0,0x01
2027-03-14T00:18:00Z,10801,1,7938,7953,2520,2979,14,-119,0,0,0x01
2027-03-14T00:19:00Z,11401,1,7949,7962,2559,3013,14,-119,0,0,0x01
2027-03-14T00:20:00Z,12001,1,7960,7970,2585,3052,15,-119,0,0,0x01
