command_id,counter,payload,hmac_sha256_16
CMD-1001,1,SUBSYS_CONFIG_REG_01,4AC4646F3C40DDD6
CMD-1002,2,SUBSYS_CONFIG_REG_02,F6162A1401819517
CMD-1003,3,SUBSYS_CONFIG_REG_03,CF4BBB6069B59D30
CMD-1004,4,SUBSYS_CONFIG_REG_04,F936592C98B8C501
CMD-1005,5,SUBSYS_CONFIG_REG_05,8E5FC043B3449712
CMD-1006,6,SUBSYS_CONFIG_REG_06,F20C8F406A29C739
CMD-1007,7,SUBSYS_CONFIG_REG_07,182BDB6C800E5EAA
CMD-1008,8,SUBSYS_CONFIG_REG_08,CE9C15B8127B08E8
CMD-1009,9,SUBSYS_CONFIG_REG_09,B83286A6F33EF793
CMD-1010,10,SUBSYS_CONFIG_REG_0A,880ABAB574000031
CMD-1011,11,SUBSYS_CONFIG_REG_0B,49E56F25918241BF
CMD-1012,12,SUBSYS_CONFIG_REG_0C,FA670590B4E94A23
CMD-1013,13,SUBSYS_CONFIG_REG_0D,7836D247CEC4E17F
CMD-1014,14,SUBSYS_CONFIG_REG_0E,E4A901F8BC293810
CMD-1015,15,SUBSYS_CONFIG_REG_0F,438CB7AA6DA12501
CMD-1016,16,SUBSYS_CONFIG_REG_10,051051FE10529FE4
CMD-1017,17,SUBSYS_CONFIG_REG_11,15B6D5988CD3706B
CMD-1018,18,SUBSYS_CONFIG_REG_12,B566DD5A7FB55DEB
CMD-1019,18,SUBSYS_CONFIG_REG_13,4D1D313283B976E5
CMD-1020,20,SUBSYS_CONFIG_REG_14,76D96FE174A23D2B
CMD-1021,21,SUBSYS_CONFIG_REG_15,C85DE9B6A59917A1
CMD-1022,22,SUBSYS_CONFIG_REG_16,2603FFD3B2F5DE2C
CMD-1023,23,SUBSYS_CONFIG_REG_17,51BF96EEE31F4E4D
CMD-1024,24,SUBSYS_CONFIG_REG_18,145A1B8438933054
CMD-1025,25,SUBSYS_CONFIG_REG_19,A5F425FFD5E347AB
